course_name,driver_id_1,name_1,rarity_1,special_skill_1,win_loss_1,driver_id_2,name_2,rarity_2,special_skill_2,win_loss_2,driver_id_3,name_3,rarity_3,special_skill_3,win_loss_3,driver_id_4,name_4,rarity_4,special_skill_4,win_loss_4,driver_id_5,name_5,rarity_5,special_skill_5,win_loss_5
DS DK Pass,28.0,Donkey Kong,Super,Giant Banana,1,55.0,Mario (Santa),High-End,Fire Flower,0,63.0,Penguin Luigi,High-End,Ice Flower,0,106.0,Funky Kong,High-End,Banana Barrels,0,112.0,King Bob-omb,High-End,Pirate Tour,0
DS DK Pass R,22.0,Rosalina,Super,Dash Ring,1,35.0,Black Shy Guy,Super,Bob-omb Cannon,0,63.0,Penguin Luigi,High-End,Ice Flower,0,99.0,Dry Bowser,High-End,Bowser's Shell,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
DS DK Pass R/T,42.0,Ice Bro,Super,Ice Flower,1,53.0,Rosalina (Halloween),High-End,Dash Ring,0,63.0,Penguin Luigi,High-End,Ice Flower,0,64.0,Ice Mario,High-End,Ice Flower,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0
DS DK Pass T,23.0,Luigi,Super,Fire Flower,1,32.0,Wario,Super,Double Bob-ombs,0,47.0,Metal Mario,High-End,Fire Flower,0,56.0,Pink Gold Peach,High-End,Coin Box,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
DS Luigi's Mansion,23.0,Luigi,Super,Fire Flower,1,34.0,King Boo,Super,Lucky Seven,0,53.0,Rosalina (Halloween),High-End,Dash Ring,0,55.0,Mario (Santa),High-End,Fire Flower,0,75.0,Mario (Chef),High-End,Lucky Seven,0
DS Luigi's Mansion R,5.0,Baby Luigi,Normal,Boomerang Flower,1,17.0,Peach,Super,Heart,0,49.0,Pauline,High-End,Lucky Seven,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,84.0,Mario (Halloween),High-End,Lucky Seven,0
DS Luigi's Mansion R/T,5.0,Baby Luigi,Normal,Boomerang Flower,1,34.0,King Boo,Super,Lucky Seven,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,74.0,Daisy (Fairy),High-End,Heat,0
DS Luigi's Mansion T,23.0,Luigi,Super,Fire Flower,1,56.0,Pink Gold Peach,High-End,Coin Box,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,85.0,Peach (Halloween),High-End,Fire Flower,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0
DS Waluigi Pinball,1.0,Baby Mario,Normal,Boomerang Flower,1,26.0,Blue Yoshi,Super,Dash Ring,0,33.0,Waluigi,Super,Double Bob-ombs,0,51.0,Peach (Kimono),High-End,Mushroom Cannon,0,59.0,Pauline (Party Time),High-End,Coin Box,0
DS Waluigi Pinball R,28.0,Donkey Kong,Super,Giant Banana,1,50.0,Mario (Musician),High-End,Double Bob-ombs,0,52.0,Mario (Hakama),High-End,Coin Box,0,81.0,Daisy (Yukata),High-End,Fire Flower,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0
DS Waluigi Pinball R/T,23.0,Luigi,Super,Fire Flower,1,49.0,Pauline,High-End,Lucky Seven,0,56.0,Pink Gold Peach,High-End,Coin Box,0,63.0,Penguin Luigi,High-End,Ice Flower,0,97.0,Builder Toadette,High-End,Hammer,0
DS Waluigi Pinball T,30.0,Lakitu,Super,Triple Green Shells,1,48.0,Peachette,High-End,Mushroom Cannon,0,49.0,Pauline,High-End,Lucky Seven,0,87.0,Builder Luigi,High-End,Hammer,0,102.0,Waluigi (Bus Driver),High-End,Triple Bananas,0
GBA Bowser's Castle 1,12.0,Ludwig,Normal,Dash Ring,1,27.0,Bowser,Super,Bowser's Shell,0,79.0,Captain Toad,High-End,Hammer,0,100.0,King Boo (Luigi's Mansion),High-End,Bob-omb Cannon,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
GBA Bowser's Castle 1R/T,33.0,Waluigi,Super,Double Bob-ombs,1,40.0,Hammer Bro,Super,Hammer,0,43.0,Fire Bro,Super,Fire Flower,0,99.0,Dry Bowser,High-End,Bowser's Shell,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
GBA Bowser's Castle 1T,8.0,Dry Bones,Normal,Triple Green Shells,1,27.0,Bowser,Super,Bowser's Shell,0,52.0,Mario (Hakama),High-End,Coin Box,0,72.0,Builder Mario,High-End,Hammer,0,112.0,King Bob-omb,High-End,Pirate Tour,0
GBA Bowser's Castle 2,42.0,Ice Bro,Super,Ice Flower,1,43.0,Fire Bro,Super,Fire Flower,0,45.0,Monty Mole,Super,Mushroom Cannon,0,99.0,Dry Bowser,High-End,Bowser's Shell,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
GBA Bowser's Castle 2R,27.0,Bowser,Super,Bowser's Shell,1,37.0,Birdo,Super,Birdo's Egg,0,43.0,Fire Bro,Super,Fire Flower,0,91.0,Cat Toad,High-End,Super Bell,0,99.0,Dry Bowser,High-End,Bowser's Shell,0
GBA Bowser's Castle 2R/T,27.0,Bowser,Super,Bowser's Shell,1,31.0,Bowser Jr.,Super,Bowser's Shell,0,43.0,Fire Bro,Super,Fire Flower,0,47.0,Metal Mario,High-End,Fire Flower,0,105.0,Dry Bones (Gold),High-End,Coin Box,0
GBA Bowser's Castle 2T,37.0,Birdo,Super,Birdo's Egg,1,43.0,Fire Bro,Super,Fire Flower,0,105.0,Dry Bones (Gold),High-End,Coin Box,0,111.0,Bowser Jr. (Pirate),High-End,Bob-omb Cannon,0,112.0,King Bob-omb,High-End,Pirate Tour,0
GBA Sunset Wilds,26.0,Blue Yoshi,Super,Dash Ring,1,68.0,Luigi (Classic),High-End,Lucky Seven,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,112.0,King Bob-omb,High-End,Pirate Tour,0
GBA Sunset Wilds R,35.0,Black Shy Guy,Super,Bob-omb Cannon,1,67.0,Mario (Classic),High-End,Triple Mushrooms,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,74.0,Daisy (Fairy),High-End,Heat,0,79.0,Captain Toad,High-End,Hammer,0
GBA Sunset Wilds R/T,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,1,67.0,Mario (Classic),High-End,Triple Mushrooms,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0
GBA Sunset Wilds T,71.0,Black Yoshi,High-End,Double Bob-ombs,1,72.0,Builder Mario,High-End,Hammer,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,88.0,Fire Rosalina,High-End,Fire Flower,0,118.0,Birdo (Black),High-End,Bob-omb Cannon,0
GCN Dino Dino Jungle,28.0,Donkey Kong,Super,Giant Banana,1,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,91.0,Cat Toad,High-End,Super Bell,0,96.0,Baby Mario (Koala),High-End,Heart,0,99.0,Dry Bowser,High-End,Bowser's Shell,0
GCN Dino Dino Jungle R,29.0,Diddy Kong,Super,Banana Barrels,1,45.0,Monty Mole,Super,Mushroom Cannon,0,48.0,Peachette,High-End,Mushroom Cannon,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,96.0,Baby Mario (Koala),High-End,Heart,0
GCN Dino Dino Jungle R/T,14.0,Roy,Normal,Double Bob-ombs,1,25.0,Red Yoshi,Super,Yoshi's Egg,0,37.0,Birdo,Super,Birdo's Egg,0,45.0,Monty Mole,Super,Mushroom Cannon,0,46.0,Green Shy Guy,Super,Triple Green Shells,0
GCN Dino Dino Jungle T,27.0,Bowser,Super,Bowser's Shell,1,46.0,Green Shy Guy,Super,Triple Green Shells,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0,87.0,Builder Luigi,High-End,Hammer,0,99.0,Dry Bowser,High-End,Bowser's Shell,0
GCN Yoshi Circuit,18.0,Yoshi,Super,Yoshi's Egg,1,25.0,Red Yoshi,Super,Yoshi's Egg,0,46.0,Green Shy Guy,Super,Triple Green Shells,0,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,62.0,Peach (Wintertime),High-End,Dash Ring,0
GCN Yoshi Circuit R,17.0,Peach,Super,Heart,1,46.0,Green Shy Guy,Super,Triple Green Shells,0,50.0,Mario (Musician),High-End,Double Bob-ombs,0,70.0,Yoshi (Egg Hunt),High-End,Yoshi's Egg,0,71.0,Black Yoshi,High-End,Double Bob-ombs,0
GCN Yoshi Circuit R/T,18.0,Yoshi,Super,Yoshi's Egg,1,25.0,Red Yoshi,Super,Yoshi's Egg,0,56.0,Pink Gold Peach,High-End,Coin Box,0,65.0,Baby Peach (Cherub),High-End,Heart,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0
GCN Yoshi Circuit T,18.0,Yoshi,Super,Yoshi's Egg,1,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,65.0,Baby Peach (Cherub),High-End,Heart,0,73.0,Builder Toad,High-End,Bob-omb Cannon,0
London Loop,36.0,Red Koopa (Freerunning),Super,Fire Flower,1,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,107.0,Dixie Kong,High-End,Triple Bananas,0
London Loop 2R/T,38.0,Pink Shy Guy,Super,Heart,1,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,59.0,Pauline (Party Time),High-End,Coin Box,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0
London Loop T,25.0,Red Yoshi,Super,Yoshi's Egg,1,49.0,Pauline,High-End,Lucky Seven,0,67.0,Mario (Classic),High-End,Triple Mushrooms,0,68.0,Luigi (Classic),High-End,Lucky Seven,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
Merry Mountain,63.0,Penguin Luigi,High-End,Ice Flower,1,68.0,Luigi (Classic),High-End,Lucky Seven,0,79.0,Captain Toad,High-End,Hammer,0,85.0,Peach (Halloween),High-End,Fire Flower,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0
Merry Mountain R,30.0,Lakitu,Super,Triple Green Shells,1,55.0,Mario (Santa),High-End,Fire Flower,0,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,91.0,Cat Toad,High-End,Super Bell,0,115.0,King Boo (Gold),High-End,Coin Box,0
Merry Mountain T,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,1,73.0,Builder Toad,High-End,Bob-omb Cannon,0,84.0,Mario (Halloween),High-End,Lucky Seven,0,109.0,Wario (Cowboy),High-End,Fire Flower,0,117.0,Lakitu (Party Time),High-End,Lucky Seven,0
N64 Choco Mountain,56.0,Pink Gold Peach,High-End,Coin Box,1,75.0,Mario (Chef),High-End,Lucky Seven,0,79.0,Captain Toad,High-End,Hammer,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
N64 Choco Mountain R,66.0,Rosalina (Aurora),High-End,Ice Flower,1,75.0,Mario (Chef),High-End,Lucky Seven,0,79.0,Captain Toad,High-End,Hammer,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,99.0,Dry Bowser,High-End,Bowser's Shell,0
N64 Choco Mountain T,66.0,Rosalina (Aurora),High-End,Ice Flower,1,71.0,Black Yoshi,High-End,Double Bob-ombs,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0
N64 Frappe Snowland,38.0,Pink Shy Guy,Super,Heart,1,42.0,Ice Bro,Super,Ice Flower,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0,85.0,Peach (Halloween),High-End,Fire Flower,0
N64 Frappe Snowland R,42.0,Ice Bro,Super,Ice Flower,1,47.0,Metal Mario,High-End,Fire Flower,0,59.0,Pauline (Party Time),High-End,Coin Box,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0,69.0,Baby Rosalina (Detective),High-End,Dash Ring,0
N64 Frappe Snowland R/T,37.0,Birdo,Super,Birdo's Egg,1,62.0,Peach (Wintertime),High-End,Dash Ring,0,64.0,Ice Mario,High-End,Ice Flower,0,65.0,Baby Peach (Cherub),High-End,Heart,0,96.0,Baby Mario (Koala),High-End,Heart,0
N64 Frappe Snowland T,39.0,Birdo (Light Blue),Super,Birdo's Egg,1,42.0,Ice Bro,Super,Ice Flower,0,62.0,Peach (Wintertime),High-End,Dash Ring,0,63.0,Penguin Luigi,High-End,Ice Flower,0,66.0,Rosalina (Aurora),High-End,Ice Flower,0
N64 Kalimari Desert,12.0,Ludwig,Normal,Dash Ring,1,13.0,Morton,Normal,Giant Banana,0,40.0,Hammer Bro,Super,Hammer,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0
N64 Kalimari Desert 2,59.0,Pauline (Party Time),High-End,Coin Box,1,83.0,Mario (Sunshine),High-End,Giant Banana,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,90.0,Cat Peach,High-End,Super Bell,0
N64 Kalimari Desert 2R,56.0,Pink Gold Peach,High-End,Coin Box,1,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,88.0,Fire Rosalina,High-End,Fire Flower,0,107.0,Dixie Kong,High-End,Triple Bananas,0,110.0,Nabbit,High-End,Wild West Tour,0
N64 Kalimari Desert 2T,44.0,Birdo (Yellow),Super,Birdo's Egg,1,79.0,Captain Toad,High-End,Hammer,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0,109.0,Wario (Cowboy),High-End,Fire Flower,0,110.0,Nabbit,High-End,Wild West Tour,0
N64 Kalimari Desert R,10.0,Larry,Normal,Boomerang Flower,1,32.0,Wario,Super,Double Bob-ombs,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,89.0,Luigi (Lederhosen),High-End,Triple Mushrooms,0,104.0,Wario (Hiker),High-End,Bob-omb Cannon,0
N64 Kalimari Desert R/T,10.0,Larry,Normal,Boomerang Flower,1,12.0,Ludwig,Normal,Dash Ring,0,31.0,Bowser Jr.,Super,Bowser's Shell,0,40.0,Hammer Bro,Super,Hammer,0,44.0,Birdo (Yellow),Super,Birdo's Egg,0
N64 Kalimari Desert T,14.0,Roy,Normal,Double Bob-ombs,1,32.0,Wario,Super,Double Bob-ombs,0,38.0,Pink Shy Guy,Super,Heart,0,72.0,Builder Mario,High-End,Hammer,0,86.0,Peach (Explorer),High-End,Bob-omb Cannon,0
N64 Koopa Troopa Beach,6.0,Koopa Troopa,Normal,Triple Green Shells,1,16.0,Mario,Super,Fire Flower,0,46.0,Green Shy Guy,Super,Triple Green Shells,0,54.0,Peach (Vacation),High-End,Coin Box,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0
N64 Koopa Troopa Beach R,17.0,Peach,Super,Heart,1,57.0,Daisy (Holiday Cheer),High-End,Lucky Seven,0,61.0,Toad (Party Time),High-End,Mushroom Cannon,0,101.0,Shy Guy (Pastry Chef),High-End,Mushroom Cannon,0,103.0,Gold Koopa (Freerunning),High-End,Coin Box,0
N64 Koopa Troopa Beach R/T,36.0,Red Koopa (Freerunning),Super,Fire Flower,1,54.0,Peach (Vacation),High-End,Coin Box,0,58.0,Yoshi (Reindeer),High-End,Yoshi's Egg,0,77.0,Rosalina (Swimwear),High-End,Coin Box,0,81.0,Daisy (Yukata),High-End,Fire Flower,0
N64 Koopa Troopa Beach T,17.0,Peach,Super,Heart,1,54.0,Peach (Vacation),High-End,Coin Box,0,60.0,Mario (Happi),High-End,Bob-omb Cannon,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,83.0,Mario (Sunshine),High-End,Giant Banana,0
N64 Royal Raceway,48.0,Peachette,High-End,Mushroom Cannon,1,59.0,Pauline (Party Time),High-End,Coin Box,0,76.0,Peach (Wedding),High-End,Triple Mushrooms,0,80.0,Toadette (Explorer),High-End,Double Bob-ombs,0,85.0,Peach (Halloween),High-End,Fire Flower,0
